customer_id_old,source_id_old,customer_id_new,source_id_new
cus_KCiqyMKr2IAMhd,src_1JwEMKKhuokAmGLhoVKY3kwb,cus_KCiqyMKr2IAMhd,src_1OrfJaCDacOypsYb5hOEOyzX
cus_KCj0bSbRKCxTbK,src_1JuS13KhuokAmGLh2PbbkUpG,cus_KCj0bSbRKCxTbK,src_1OrfJZCDacOypsYb6r9IVC1n
cus_KClCo9bDWd3Fbz,src_1KhG5vKhuokAmGLh93fCr0LA,cus_KClCo9bDWd3Fbz,src_1OrfJZCDacOypsYbCdRwQ2Zo
cus_KClCo9bDWd3Fbz,src_1JhyxoKhuokAmGLhDGzPCkUv,cus_KClCo9bDWd3Fbz,src_1OrfJYCDacOypsYbxFTlFuFE
cus_KD5l9Bw4N461Ax,pm_1OZL5lKhuokAmGLhYRc2ruzM,cus_KD5l9Bw4N461Ax,pm_1OrfJYCDacOypsYb2u46991J
cus_KD5l9Bw4N461Ax,src_1JYfZwKhuokAmGLhQe4Wk6NF,cus_KD5l9Bw4N461Ax,src_1OrfJYCDacOypsYb6MCqhctD
cus_KDhkB0VUCUgDnC,src_1MFJcpKhuokAmGLhboJkWhZ2,cus_KDhkB0VUCUgDnC,src_1OrfJXCDacOypsYbWceEgOH5
cus_KEUO6mJsZRBzcL,pm_1N20YAKhuokAmGLhGibEvgBk,cus_KEUO6mJsZRBzcL,pm_1OrfJXCDacOypsYbb39wnr4Y
cus_KEUO6mJsZRBzcL,src_1Ja1R7KhuokAmGLhFIgSAf12,cus_KEUO6mJsZRBzcL,src_1OrfJXCDacOypsYbKstrxlNS
cus_KEWlFAffZH915G,src_1Ja3hzKhuokAmGLhsmw0mIJm,cus_KEWlFAffZH915G,src_1OrfJWCDacOypsYbe9BMZ3t8
cus_KEXUQesE3aXQu4,src_1LDe0EKhuokAmGLh5OJaNsSk,cus_KEXUQesE3aXQu4,src_1OrfJVCDacOypsYbIhwBqBhL
cus_KEXUQesE3aXQu4,src_1Jlj79KhuokAmGLhNesJj0v7,cus_KEXUQesE3aXQu4,src_1OrfJVCDacOypsYbbaENzlW0
cus_KEYAzJQMpZSDSe,,cus_KEYAzJQMpZSDSe,
cus_KEZ3xc5N3NSKuY,src_1Kd0KiKhuokAmGLhkxkEdDr4,cus_KEZ3xc5N3NSKuY,src_1OrfJUCDacOypsYbwBICqX8W
cus_KEZ3xc5N3NSKuY,src_1Ja5vCKhuokAmGLhYHQOiRYb,cus_KEZ3xc5N3NSKuY,src_1OrfJUCDacOypsYbxszjXRt3
cus_KEZ9IZc9a90CLm,,cus_KEZ9IZc9a90CLm,
cus_KEZukFThvvULur,src_1Ja6nCKhuokAmGLhlpYy4cEw,cus_KEZukFThvvULur,src_1OrfJUCDacOypsYbGI2z889T
cus_KEZukFThvvULur,src_1Ja6m3KhuokAmGLh2tAyAgG3,cus_KEZukFThvvULur,src_1OrfJTCDacOypsYbYoPbvKZD
cus_KEa74VI0cbODmG,src_1Ja6x1KhuokAmGLhSzw74td4,cus_KEa74VI0cbODmG,src_1OrfJTCDacOypsYb5vOcJ0Rj
cus_KEaPWYGyiWbSuv,src_1Ja7F0KhuokAmGLhQAmnr983,cus_KEaPWYGyiWbSuv,src_1OrfJSCDacOypsYbSYZe3Bpq
cus_KEardcTdP3EojX,,cus_KEardcTdP3EojX,
cus_KEauUrZ0S8lKh3,,cus_KEauUrZ0S8lKh3,
cus_KEbA9EqWSAmpmK,,cus_KEbA9EqWSAmpmK,
cus_KEcRpxtgkvPS7U,src_1Kh181KhuokAmGLhpjAwiBSg,cus_KEcRpxtgkvPS7U,src_1OrfJRCDacOypsYbYta9CClU
cus_KEcRpxtgkvPS7U,src_1Ja9CAKhuokAmGLhEMgNGMtM,cus_KEcRpxtgkvPS7U,src_1OrfJRCDacOypsYbxFnregXC
cus_KEcpAaHnCvATHt,src_1JuRpcKhuokAmGLhWBip6Uox,cus_KEcpAaHnCvATHt,src_1OrfJQCDacOypsYbILQ5B65p
cus_KEcx7x0rx8lYto,,cus_KEcx7x0rx8lYto,
cus_KEcyt4nxDbrVEO,src_1KZSoXKhuokAmGLhtyJvbHcV,cus_KEcyt4nxDbrVEO,src_1OrfJPCDacOypsYbqT0Ys2C7
cus_KEcyt4nxDbrVEO,src_1Ja9iSKhuokAmGLh08EdubOs,cus_KEcyt4nxDbrVEO,src_1OrfJPCDacOypsYb5P7bIVU8
cus_KEd18BDcbt2VLB,src_1LO7d7KhuokAmGLhE1TVINpY,cus_KEd18BDcbt2VLB,src_1OrfJPCDacOypsYb6n3WnFE0
cus_KEom9Rq6ygX3Uh,pm_1NVg49KhuokAmGLhMIeLkIFa,cus_KEom9Rq6ygX3Uh,pm_1OrfJOCDacOypsYbRbOrw5SY
cus_KEom9Rq6ygX3Uh,src_1JaL8pKhuokAmGLhbqJEEPEa,cus_KEom9Rq6ygX3Uh,src_1OrfJOCDacOypsYb95SJ1u4k
cus_KEp8ZlT7xMOwZl,pm_1NnT6cKhuokAmGLh9XN2Iada,cus_KEp8ZlT7xMOwZl,pm_1OrfJNCDacOypsYbJxvKduwz
cus_KEp8ZlT7xMOwZl,src_1JaLTyKhuokAmGLhrEEcN39H,cus_KEp8ZlT7xMOwZl,src_1OrfJNCDacOypsYbXulcinMz
cus_KEpNR6DNAOmeIT,src_1MEcQJKhuokAmGLhGJqS6DdK,cus_KEpNR6DNAOmeIT,src_1OrfJNCDacOypsYb90WpUbMD
cus_KEpNR6DNAOmeIT,src_1JaLiEKhuokAmGLhzsA8lSAD,cus_KEpNR6DNAOmeIT,src_1OrfJMCDacOypsYbabvkhnta
